Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
20,55,116,Aug 15,LAA,,SEA,L2-6,GS-6,,5,6.0,7,2,2,1,8,1,0,2.69,2.48,26,97,67,19,13,6,11,3,2,0,57,,,0,0,0,25,1,0,0,0,0,0,1.00,0.111,.03,0.00%,0.90,20.70,40.00,1t start tie,6t 3 out tie
21,56,121,Aug 21,LAA,@,DET,L0-4,GS-4,L(10-8),5,4.0,5,3,3,4,2,1,0,2.83,2.67,21,85,47,11,10,4,11,2,4,0,38,,,1,0,0,17,1,1,0,0,0,0,.99,-0.142,.00,0.00%,-1.18,1.60,9.00,1b start tie,4b 3 out d3
22,57,127,Aug 27,LAA,@,TOR,W2-0,GS-7,W(11-8),5,7.0,2,0,0,1,9,0,0,2.67,2.58,25,109,72,20,16,8,7,2,2,0,81,,,0,0,0,24,1,0,0,0,0,1,1.10,0.465,.00,0.00%,3.31,35.95,58.00,1b start tie,7b 3 out a1
23,58,133,Sep 3,LAA,,HOU,W2-1,GS-8,,6,8.0,6,1,1,0,5,0,0,2.58,2.54,30,111,81,19,10,6,18,5,4,0,71,,,0,0,0,29,2,0,0,1,0,0,1.13,0.330,.00,0.00%,2.87,22.40,40.00,1t start tie,8t 3 out tie
24,59,139,Sep 10,LAA,@,HOU,W6-1,GS-5,W(12-8),6,5.0,6,1,1,2,7,0,0,2.55,2.50,21,79,48,13,10,4,8,4,1,0,56,,,0,0,0,19,1,0,0,1,0,0,.90,0.077,.00,0.00%,1.39,22.45,39.00,1b start a 1,5b 3 out a5
25,60,145,Sep 17,LAA,,SEA,W2-1,GS-7,W(13-8),6,7.0,3,0,0,1,8,0,0,2.43,2.44,24,107,73,18,15,10,5,4,0,0,78,,,0,0,0,23,0,0,0,1,0,0,.98,0.407,.00,0.00%,3.38,33.35,55.00,1t start tie,7t 3 out a2
26,61,151,Sep 23,LAA,@,MIN,W4-2,GS-6,W(14-8),5,5.0,3,2,2,6,7,0,1,2.47,2.51,24,100,53,13,13,6,4,2,2,0,54,,,0,0,0,17,0,0,0,1,0,0,1.41,-0.248,.00,0.00%,-1.51,19.25,36.00,1b start tie,6b 123 0 out a1
27,62,156,Sep 29,LAA,,OAK,W4-2,GS-8,W(15-8),5,8.0,2,0,0,1,10,0,0,2.35,2.43,26,108,72,14,16,12,3,0,1,0,87,,,0,0,0,25,0,0,0,1,0,0,.61,0.332,.00,0.00%,3.87,40.20,64.00,1t start tie,8t 3 out a4
28,63,162,Oct 5,LAA,@,OAK,L2-3,GS-5,L(15-9),5,5.0,1,1,1,1,6,0,0,2.33,2.40,17,69,46,7,11,5,5,2,1,0,66,,,0,0,0,15,1,0,0,0,1,0,.90,0.096,.00,0.00%,1.27,20.05,30.00,1b start tie,5b 3 out d1
,,,,,,,16-12,,W-L:15-9,5.7,166.0,124,45,43,44,219,14,2,2.33,2.40,660,2629,66%,17%,15%,0.72,,23%,9%,0,63,,---%,4,1,0,610,23,2,0,10,3,4,1.00,3.400,.44,0.58%,33.22,683.50,1180.00,,

